,,SARIMA,,,,,,,,ARIMA,,,,,,,,LSTM,,,,,
,test,predict,item,abs(diff),diff,3 months,,,test,predict,item,abs(diff),diff,3 months,,,test,predict,item,abs(diff),diff,3 months,Winner
m+3,3,3,M80-VEG-BLK,0,0,,,m+3,3,5,M80-VEG-BLK,3,2,,,m+3,3,4,M80-VEG-BLK,1,1,,
m+1,2,0,M80-VEG-GRY,2,-2,-7,,m+1,2,2,M80-VEG-GRY,2,0,-1,,m+1,2,3,M80-VEG-GRY,1,1,3,ARIMA
m+2,3,0,M80-VEG-GRY,3,-3,,,m+2,3,2,M80-VEG-GRY,3,-1,,,m+2,3,3,M80-VEG-GRY,0,0,,
m+3,2,0,M80-VEG-GRY,2,-2,,,m+3,2,2,M80-VEG-GRY,2,0,,,m+3,2,4,M80-VEG-GRY,2,2,,
m+1,1,0,M80-VHB-BLK,1,-1,-1,,m+1,1,1,M80-VHB-BLK,1,0,-2,,m+1,1,0,M80-VHB-BLK,1,-1,1,LSTM/ SARIMA
m+2,0,0,M80-VHB-BLK,0,0,,,m+2,0,1,M80-VHB-BLK,0,1,,,m+2,0,3,M80-VHB-BLK,3,3,,
m+3,4,4,M80-VHB-BLK,0,0,,,m+3,4,1,M80-VHB-BLK,4,-3,,,m+3,4,3,M80-VHB-BLK,1,-1,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
