order_id,order_date,order_total_price,product_price,order_discounts,product_discount,order_status,product_title,product_sku,product_quantity,product_category,weekdays,sch_holidays
22690,2018-01-12,339.98,249.99,yes,0.0,fulfilled,"MONO Vertigo Electric Guitar Case, Black",M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags,5,Non Holidays
22689,2018-01-12,149.99,149.99,yes,0.0,fulfilled,"MONO Sleeve Electric Guitar Case, Ash",M80-SEG-ASH,1,Electric Guitar Cases & Gig Bags,5,Non Holidays
22687,2018-01-13,319.98,89.99,yes,0.0,fulfilled,"MONO Classic Tick Accessory Case 2.0, Black",M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,6,Non Holidays
22687,2018-01-13,319.98,229.99,yes,0.0,fulfilled,"MONO Classic OM/Classical Guitar Case, Black",M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags,6,Non Holidays
22681,2018-01-14,,249.99,no,249.99,fulfilled,"MONO Vertigo Bass Guitar Case, Black",M80-VEB-BLK,1,Bass Guitar Cases & Gig Bags,7,Non Holidays
22663,2018-01-15,,0.01,yes,0.0,fulfilled,MONO M80 Tour Tag,M80-TT-BLK,3,Gifts,1,Non Holidays
22677,2018-01-14,104.77,89.99,yes,0.0,fulfilled,"MONO Classic Tick Accessory Case 2.0, Black",M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,7,Non Holidays
22685,2018-01-14,149.99,149.99,yes,0.0,fulfilled,"MONO Double Pedal Case, Black",M80-DP-BLK,1,Drum & Percussion Cases & Gig Bags,7,Non Holidays
22691,2018-01-12,379.63,249.99,yes,0.0,fulfilled,"MONO Vertigo Bass Guitar Case, Black",M80-VEB-BLK,1,Bass Guitar Cases & Gig Bags,5,Non Holidays
22678,2018-01-14,123.33,109.99,yes,0.0,fulfilled,"MONO Pedalboard Lite, Silver",PFX-PB-LT-SLV,1,Pedalboards,7,Non Holidays
22682,2018-01-14,149.99,149.99,yes,0.0,fulfilled,"MONO Sleeve Bass Guitar Case, Black",M80-SEB-BLK,1,Bass Guitar Cases & Gig Bags,7,Non Holidays
22664,2018-01-15,,189.99,no,189.99,fulfilled,"MONO Cymbal Case 22"", Black",M80-CY22-BLK,1,Drum & Percussion Cases & Gig Bags,1,Non Holidays
22683,2018-01-14,,189.99,no,189.99,fulfilled,"MONO Cymbal Case 22"", Black",M80-CY22-BLK,1,Drum & Percussion Cases & Gig Bags,7,Non Holidays
22657,2018-01-16,189.99,189.99,yes,0.0,fulfilled,"MONO Cymbal Case 22"", Black",M80-CY22-BLK,1,Drum & Percussion Cases & Gig Bags,2,Non Holidays
22653,2018-01-16,,249.99,no,249.99,fulfilled,"MONO Vertigo Electric Guitar Case, Black",M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags,2,Non Holidays
22654,2018-01-16,282.34,269.99,yes,0.0,fulfilled,"MONO Pedalboard Large, Silver",PFX-PB-L-SLV,1,Pedalboards,2,Non Holidays
22646,2018-01-17,,149.99,no,149.99,fulfilled,"MONO Classic Club Pedalboard Case, Black",M80-PB1-BLK,1,Pedals & Pedalboards Cases & Gig Bags,3,Non Holidays
22643,2018-01-17,247.52,229.99,yes,0.0,fulfilled,"MONO Classic Acoustic/Dreadnought Guitar Case, Black",M80-AD-BLK,1,Acoustic Guitar Cases & Gig Bags,3,Non Holidays
22628,2018-01-18,199.99,199.99,yes,0.0,fulfilled,"MONO Pro Accessory Case 2.0, Black",M80-PRO-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,4,Non Holidays
22627,2018-01-18,,0.01,yes,0.0,fulfilled,MONO Tear-Aid Fabric Repair Kit,TEAR-AID,1,Spareparts,4,Non Holidays
22624,2018-01-18,246.66,229.99,yes,0.0,fulfilled,"MONO Classic Acoustic/Dreadnought Guitar Case, Black",M80-AD-BLK,1,Acoustic Guitar Cases & Gig Bags,4,Non Holidays
22615,2018-01-19,,189.99,no,189.99,fulfilled,"MONO Cymbal Case 22"", Black",M80-CY22-BLK,1,Drum & Percussion Cases & Gig Bags,5,Non Holidays
22688,2018-01-12,72.24,59.99,yes,0.0,fulfilled,"MONO Passport Wallet, Jet Black",CVL-PPW-BLK,1,Gifts,5,Non Holidays
22611,2018-01-19,268.09,49.99,yes,0.0,fulfilled,"MONO Betty Guitar Strap, Long, Black",M80-BTY-BLK-L,2,Guitar Straps,5,Non Holidays
22611,2018-01-19,268.09,149.99,yes,0.0,fulfilled,"MONO Sleeve Electric Guitar Case, Black",M80-SEG-BLK,1,Electric Guitar Cases & Gig Bags,5,Non Holidays
22609,2018-01-21,,0.01,yes,0.0,fulfilled,MONO Tear-Aid Fabric Repair Kit,TEAR-AID,1,Spareparts,7,Non Holidays
22614,2018-01-19,249.99,249.99,yes,0.0,fulfilled,"MONO Vertigo Electric Guitar Case, Black",M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags,5,Non Holidays
22612,2018-01-19,227.91,249.99,no,0.0,fulfilled,"MONO Vertigo Electric Guitar Case, Black",M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags,5,Non Holidays
22592,2018-01-22,,229.99,no,229.99,fulfilled,"MONO Classic OM/Classical Guitar Case, Black",M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags,1,Non Holidays
22586,2018-01-23,160.86,149.99,yes,0.0,fulfilled,"MONO Classic Club Pedalboard Case, Black",M80-PB1-BLK,1,Pedals & Pedalboards Cases & Gig Bags,2,Non Holidays
22585,2018-01-23,165.0,329.99,no,0.0,fulfilled,"MONO Classic Dual Bass Guitar Case, Black",M80-2B-BLK,1,Bass Guitar Cases & Gig Bags,2,Non Holidays
22610,2018-01-20,209.99,209.99,yes,0.0,fulfilled,"MONO Cymbal Case 24"", Ash",M80-CY24-ASH,1,Drum & Percussion Cases & Gig Bags,6,Non Holidays
22593,2018-01-22,178.42,249.99,no,0.0,fulfilled,"MONO Vertigo Bass Guitar Case, Black",M80-VEB-BLK,1,Bass Guitar Cases & Gig Bags,1,Non Holidays
22591,2018-01-22,209.68,149.99,yes,0.0,fulfilled,"MONO Sleeve Electric Guitar Case, Black",M80-SEG-BLK,1,Electric Guitar Cases & Gig Bags,1,Non Holidays
22581,2018-01-24,249.99,249.99,yes,0.0,fulfilled,"MONO Vertigo Acoustic Guitar Case, Black",M80-VAD-BLK,1,Acoustic Guitar Cases & Gig Bags,3,Non Holidays
22578,2018-01-24,179.99,179.99,yes,0.0,fulfilled,"MONO Sleeve Acoustic Guitar Case, Black",M80-SAD-BLK,1,Acoustic Guitar Cases & Gig Bags,3,Non Holidays
22573,2018-01-24,187.5,249.99,no,0.0,fulfilled,"MONO Vertigo Acoustic Guitar Case, Black",M80-VAD-BLK,1,Acoustic Guitar Cases & Gig Bags,3,Non Holidays
22575,2018-01-24,249.99,249.99,yes,0.0,fulfilled,"MONO Vertigo Electric Guitar Case, Black",M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags,3,Non Holidays
22572,2018-01-24,149.99,149.99,yes,0.0,fulfilled,"MONO Classic Club Pedalboard Case, Black",M80-PB1-BLK,1,Pedals & Pedalboards Cases & Gig Bags,3,Non Holidays
22569,2018-01-25,273.73,249.99,yes,0.0,fulfilled,"MONO Vertigo Semi-Hollow Guitar Case, Black",M80-VHB-BLK,1,Electric Guitar Cases & Gig Bags,4,Non Holidays
22570,2018-01-25,180.0,199.99,no,0.0,fulfilled,"MONO Classic Acoustic Parlor Guitar Case, Black",M80-AP-BLK,1,Acoustic Guitar Cases & Gig Bags,4,Non Holidays
22568,2018-01-25,229.99,229.99,yes,0.0,fulfilled,"MONO Classic OM/Classical Guitar Case, Black",M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags,4,Non Holidays
22576,2018-01-24,65.44,49.99,yes,0.0,fulfilled,"MONO Loop Laptop Sleeve 13"", Black",CVL-LLT-13-BLK,1,Gifts,3,Non Holidays
22577,2018-01-24,329.99,329.99,yes,0.0,fulfilled,"MONO Classic Dual Acoustic/Electric Guitar Case, Black",M80-2A-BLK,1,Electric Guitar Cases & Gig Bags,3,Non Holidays
20476,2018-01-09,49.99,49.99,yes,0.0,fulfilled,"MONO Betty Guitar Strap, Short, Black",M80-BTY-BLK-S,1,Guitar Straps,2,Non Holidays
22561,2018-01-26,329.99,329.99,yes,0.0,fulfilled,"MONO Classic Dual Bass Guitar Case, Black",M80-2B-BLK,1,Bass Guitar Cases & Gig Bags,5,Non Holidays
22565,2018-01-25,189.99,189.99,yes,0.0,fulfilled,"MONO Cymbal Case 22"", Ash",M80-CY22-ASH,1,Drum & Percussion Cases & Gig Bags,4,Non Holidays
22562,2018-01-26,329.99,329.99,yes,0.0,fulfilled,"MONO Classic Dual Electric Guitar Case, Black",M80-2G-BLK,1,Electric Guitar Cases & Gig Bags,5,Non Holidays
20449,2018-01-11,,189.99,no,189.99,fulfilled,"MONO Cymbal Case 22"", Ash",M80-CY22-ASH,1,Drum & Percussion Cases & Gig Bags,4,Non Holidays
22556,2018-01-28,,249.99,no,249.99,,"MONO Vertigo Bass Guitar Case, Grey",M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags,7,Non Holidays
22645,2018-01-17,,329.99,no,329.99,fulfilled,"MONO Classic Dual Electric Guitar Case, Black",M80-2G-BLK,1,Electric Guitar Cases & Gig Bags,3,Non Holidays
22644,2018-01-17,,249.99,no,249.99,fulfilled,"MONO Vertigo Bass Guitar Case, Grey",M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags,3,Non Holidays
22553,2018-01-29,149.99,149.99,yes,0.0,fulfilled,"MONO Classic Club Pedalboard Case, Black",M80-PB1-BLK,1,Pedals & Pedalboards Cases & Gig Bags,1,Non Holidays
22559,2018-01-27,361.33,329.99,yes,0.0,fulfilled,"MONO Classic Dual Electric Guitar Case, Black",M80-2G-BLK,1,Electric Guitar Cases & Gig Bags,6,Non Holidays
22555,2018-01-28,,329.99,no,329.99,fulfilled,"MONO Classic Dual Electric Guitar Case, Black",M80-2G-BLK,1,Electric Guitar Cases & Gig Bags,7,Non Holidays
22557,2018-01-28,249.99,249.99,yes,0.0,fulfilled,"MONO Vertigo Acoustic Guitar Case, Black",M80-VAD-BLK,1,Acoustic Guitar Cases & Gig Bags,7,Non Holidays
22558,2018-01-28,164.23,149.99,yes,0.0,fulfilled,"MONO Sleeve Bass Guitar Case, Black",M80-SEB-BLK,1,Bass Guitar Cases & Gig Bags,7,Non Holidays
22551,2018-01-29,255.99,49.99,no,0.0,fulfilled,"MONO Die Cut Wallet, Black",CVL-DCW-BLK,1,Gifts,1,Non Holidays
22551,2018-01-29,255.99,49.99,no,0.0,fulfilled,"MONO Shogun Stick Case, Black",M80-SS-BLK,1,Drum & Percussion Cases & Gig Bags,1,Non Holidays
22551,2018-01-29,255.99,189.99,no,0.0,fulfilled,"MONO Cymbal Case 22"", Ash",M80-CY22-ASH,1,Drum & Percussion Cases & Gig Bags,1,Non Holidays
22549,2018-01-29,102.99,89.99,yes,0.0,fulfilled,"MONO Classic Tick Accessory Case 2.0, Black",M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,1,Non Holidays
22537,2018-01-31,249.99,249.99,yes,0.0,fulfilled,"MONO Vertigo Bass Guitar Case, Grey",M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags,3,Non Holidays
22538,2018-01-31,149.99,149.99,yes,0.0,fulfilled,"MONO Snare Case, Black",M80-SN-BLK,1,Drum & Percussion Cases & Gig Bags,3,Non Holidays
22536,2018-01-31,149.99,149.99,yes,0.0,fulfilled,"MONO Snare Case, Black",M80-SN-BLK,1,Drum & Percussion Cases & Gig Bags,3,Non Holidays
22528,2018-02-01,,329.99,no,329.99,fulfilled,"MONO Classic Dual Electric Guitar Case, Black",M80-2G-BLK,1,Electric Guitar Cases & Gig Bags,4,Non Holidays
22533,2018-01-31,,329.99,no,329.99,fulfilled,"MONO Classic Dual Electric Guitar Case, Black",M80-2G-BLK,1,Electric Guitar Cases & Gig Bags,3,Non Holidays
22533,2018-01-31,,89.99,no,89.99,fulfilled,"MONO Classic Tick Accessory Case 2.0, Black",M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,3,Non Holidays
22532,2018-01-31,,329.99,no,329.99,fulfilled,"MONO Classic Dual Acoustic/Electric Guitar Case, Black",M80-2A-BLK,1,Electric Guitar Cases & Gig Bags,3,Non Holidays
22527,2018-02-01,68.15,49.99,yes,0.0,fulfilled,"MONO Shogun Stick Case, Black",M80-SS-BLK,1,Drum & Percussion Cases & Gig Bags,4,Non Holidays
22530,2018-02-01,,0.01,yes,0.0,fulfilled,MONO Tear-Aid Fabric Repair Kit,TEAR-AID,1,Spareparts,4,Non Holidays
20517,2018-01-05,1584.65,149.99,yes,0.0,fulfilled,"MONO Sleeve Electric Guitar Case, Black",M80-SEG-BLK,1,Electric Guitar Cases & Gig Bags,5,Non Holidays
20517,2018-01-05,1584.65,89.99,yes,0.0,fulfilled,"MONO Classic Tick Accessory Case 2.0, Grey",M80-TICK-V2-GRY,1,Pedals & Pedalboards Cases & Gig Bags,5,Non Holidays
20517,2018-01-05,1584.65,209.99,yes,0.0,fulfilled,"MONO Cymbal Case 24"", Ash",M80-CY24-ASH,1,Drum & Percussion Cases & Gig Bags,5,Non Holidays
20517,2018-01-05,1584.65,79.99,yes,0.0,fulfilled,"MONO Studio Stick Case, Ash",M80-ST-ASH,1,Drum & Percussion Cases & Gig Bags,5,Non Holidays
