,pdq_config,rmse
116,"[(0, 0, 2), (2, 0, 1, 12), 'ct']",4.437122278093266
117,"[(1, 1, 1), (1, 0, 0, 12), 't']",4.437914801161826
118,"[(2, 1, 2), (1, 0, 1, 12), 'ct']",4.445515962799043
119,"[(0, 0, 1), (2, 0, 2, 12), 'ct']",4.453694576255679
120,"[(0, 1, 1), (1, 0, 2, 12), 't']",4.455145942199789
121,"[(2, 0, 0), (0, 0, 1, 12), 'ct']",4.465327048631712
122,"[(1, 0, 2), (0, 0, 0, 12), 'ct']",4.465444250029372
123,"[(0, 0, 0), (1, 0, 1, 12), 'c']",4.472897506460176
124,"[(2, 0, 0), (0, 1, 2, 12), 't']",4.4797590877673725
125,"[(2, 0, 0), (1, 1, 2, 12), 't']",4.4797590877673725
126,"[(2, 0, 0), (2, 1, 0, 12), 't']",4.4797590877674764
127,"[(2, 0, 0), (2, 1, 1, 12), 't']",4.4797590877674764
128,"[(2, 0, 0), (2, 1, 2, 12), 't']",4.4797590877674764
129,"[(2, 0, 1), (1, 0, 2, 12), 't']",4.48332242959727
130,"[(1, 0, 1), (0, 1, 2, 12), 'c']",4.493178973798896
131,"[(1, 0, 1), (1, 1, 2, 12), 'c']",4.493178973798896
132,"[(1, 0, 1), (2, 1, 2, 12), 'c']",4.493178973798896
133,"[(2, 0, 0), (2, 0, 1, 12), 'c']",4.494576884096601
134,"[(2, 1, 0), (0, 0, 2, 12), 'c']",4.499342315591436
135,"[(0, 0, 0), (1, 0, 0, 12), 'c']",4.506457427245917
136,"[(2, 0, 2), (2, 0, 2, 12), 'ct']",4.526109497057579
137,"[(2, 0, 1), (0, 0, 2, 12), 'c']",4.533916331153064
138,"[(1, 1, 0), (1, 0, 1, 12), 't']",4.54761939815449
139,"[(0, 0, 1), (1, 1, 0, 12), 'c']",4.5548248485728875
140,"[(1, 0, 0), (1, 0, 1, 12), 'ct']",4.55715796111131
141,"[(1, 1, 0), (0, 0, 1, 12), 't']",4.561071966174635
142,"[(2, 0, 2), (0, 1, 0, 12), 't']",4.56125303561029
143,"[(2, 0, 0), (0, 1, 0, 12), 'c']",4.561818424413322
144,"[(2, 0, 0), (2, 1, 0, 12), 'c']",4.561818424413371
145,"[(2, 0, 0), (2, 1, 1, 12), 'c']",4.561818424413371
146,"[(2, 0, 0), (2, 1, 2, 12), 'c']",4.561818424413371
147,"[(2, 0, 0), (0, 1, 2, 12), 'c']",4.561818424413737
148,"[(2, 0, 0), (1, 1, 2, 12), 'c']",4.561818424413737
149,"[(2, 0, 1), (0, 1, 0, 12), 'c']",4.563834424055529
150,"[(2, 0, 2), (1, 0, 1, 12), 'c']",4.566323705000488
151,"[(0, 0, 1), (1, 0, 2, 12), 'ct']",4.568678019317011
152,"[(1, 0, 0), (1, 0, 0, 12), 't']",4.5825930644980355
153,"[(1, 1, 1), (0, 0, 1, 12), 't']",4.582818923609566
154,"[(1, 0, 0), (0, 0, 2, 12), 'ct']",4.5852262595623845
155,"[(0, 0, 2), (0, 0, 0, 12), 'ct']",4.586333312392929
156,"[(0, 0, 1), (0, 0, 0, 12), 'ct']",4.603400469660465
157,"[(1, 0, 1), (0, 1, 0, 12), 'c']",4.6045101470129435
158,"[(0, 1, 1), (1, 0, 1, 12), 'ct']",4.607343820422412
159,"[(1, 0, 1), (2, 1, 0, 12), 'c']",4.626717568118526
160,"[(1, 0, 1), (2, 1, 1, 12), 'c']",4.626717568118526
161,"[(0, 1, 1), (1, 0, 2, 12), 'c']",4.627803531078076
162,"[(2, 0, 2), (2, 0, 1, 12), 'ct']",4.630623126773933
163,"[(0, 1, 1), (0, 0, 1, 12), 'ct']",4.635530534885364
164,"[(0, 1, 1), (0, 1, 0, 12), 't']",4.648804504917865
165,"[(1, 1, 1), (0, 1, 0, 12), 't']",4.684539592738694
166,"[(1, 1, 1), (1, 0, 1, 12), 't']",4.68578341856273
167,"[(2, 1, 1), (0, 0, 0, 12), 'c']",4.692852665202631
168,"[(2, 0, 0), (0, 0, 2, 12), 'c']",4.694156771953738
169,"[(1, 0, 2), (2, 0, 1, 12), 'c']",4.695620343736056
170,"[(1, 1, 2), (0, 0, 0, 12), 'ct']",4.700996191511741
171,"[(2, 0, 2), (2, 0, 0, 12), 'ct']",4.704192806484139
172,"[(0, 1, 2), (1, 0, 1, 12), 't']",4.727313183383837
173,"[(2, 0, 0), (2, 0, 2, 12), 'c']",4.730343409002475
174,"[(0, 0, 0), (0, 0, 0, 12), 'ct']",4.73222859022979
175,"[(2, 0, 0), (2, 0, 0, 12), 'ct']",4.7344732318651515
176,"[(2, 1, 0), (0, 0, 2, 12), 't']",4.741485547095313
177,"[(0, 0, 2), (2, 0, 2, 12), 'ct']",4.74289806350723
178,"[(1, 0, 1), (0, 0, 2, 12), 't']",4.745257926910407
179,"[(1, 0, 0), (1, 0, 1, 12), 'c']",4.746770908834364
180,"[(2, 0, 0), (1, 0, 2, 12), 't']",4.759156105726096
181,"[(0, 1, 1), (0, 0, 2, 12), 'c']",4.779518726670177
182,"[(2, 0, 2), (1, 0, 0, 12), 'c']",4.781492225722889
183,"[(0, 0, 0), (1, 0, 0, 12), 't']",4.781605735527018
184,"[(0, 0, 0), (0, 1, 1, 12), 'c']",4.792797011594907
185,"[(0, 1, 0), (1, 0, 0, 12), 'c']",4.800753030405281
186,"[(0, 1, 0), (0, 0, 0, 12), 'c']",4.804729246732375
187,"[(1, 1, 1), (0, 0, 1, 12), 'ct']",4.811246278535746
188,"[(0, 1, 0), (0, 0, 1, 12), 'c']",4.830256100414071
189,"[(1, 0, 0), (0, 1, 2, 12), 'c']",4.8324288757080796
190,"[(1, 0, 0), (1, 1, 2, 12), 'c']",4.8324288757080796
191,"[(1, 0, 0), (2, 1, 0, 12), 'c']",4.8324288757080796
192,"[(1, 0, 0), (2, 1, 1, 12), 'c']",4.8324288757080796
193,"[(1, 0, 0), (2, 1, 2, 12), 'c']",4.8324288757080796
194,"[(1, 0, 0), (0, 1, 0, 12), 'c']",4.83242887570895
195,"[(1, 0, 1), (1, 0, 2, 12), 'c']",4.835268356413478
196,"[(2, 1, 1), (0, 0, 0, 12), 't']",4.837745019752731
197,"[(1, 0, 1), (0, 0, 2, 12), 'c']",4.858821576000108
198,"[(1, 1, 2), (0, 0, 0, 12), 'c']",4.876984994763282
199,"[(1, 0, 0), (1, 0, 1, 12), 't']",4.8834618710176105
200,"[(1, 1, 1), (1, 0, 1, 12), 'ct']",4.883852290682981
201,"[(0, 1, 0), (1, 0, 1, 12), 'c']",4.894854927803041
202,"[(1, 1, 2), (1, 0, 0, 12), 't']",4.897948523698726
203,"[(0, 0, 0), (1, 0, 1, 12), 't']",4.900042977673232
204,"[(1, 0, 2), (0, 0, 1, 12), 'c']",4.90516550376328
205,"[(2, 0, 0), (0, 0, 1, 12), 'c']",4.908815346120605
