order_id,order_date,order_total_price,product_price,order_discounts,product_discount,order_status,product_title,product_sku,product_quantity,product_category
22486,2018-02-06,104.5,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
22626,2018-01-18,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
20550,2018-01-02,,229.99,no,229.99,fulfilled,Single Electric Bass,M80-EB-BLK,1,Bass Guitar Cases & Gig Bags
22594,2018-01-22,,229.99,no,229.99,fulfilled,Single Electric Bass,M80-EB-BLK,1,Bass Guitar Cases & Gig Bags
20448,2018-01-11,,229.99,no,229.99,fulfilled,Single Electric Bass,M80-EB-BLK,1,Bass Guitar Cases & Gig Bags
22642,2018-01-17,,229.99,no,229.99,fulfilled,Single Electric Bass,M80-EB-BLK,1,Bass Guitar Cases & Gig Bags
20505,2018-01-08,609.97,229.99,yes,0.0,fulfilled,Single Electric Bass,M80-EB-BLK,1,Bass Guitar Cases & Gig Bags
20505,2018-01-08,609.97,229.99,yes,0.0,fulfilled,Single Electric Guitar,M80-EG-BLK,1,Electric Guitar Cases & Gig Bags
22684,2018-01-14,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
22466,2018-02-08,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Electric Bass (Grey),M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags
22447,2018-02-11,727.97,169.99,no,0.0,fulfilled,Tour 2.0,M80-TOUR-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
22447,2018-02-11,727.97,89.99,no,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
22447,2018-02-11,727.97,329.99,no,0.0,fulfilled,Dual Electric Guitar,M80-2G-BLK,1,Electric Guitar Cases & Gig Bags
22447,2018-02-11,727.97,229.99,no,0.0,fulfilled,Single Electric Guitar,M80-EG-BLK,1,Electric Guitar Cases & Gig Bags
22462,2018-02-10,229.99,229.99,yes,0.0,fulfilled,Acoustic (Classical / OM),M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags
18184,2018-02-12,229.99,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18169,2018-02-12,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18164,2018-02-14,161.0,229.99,no,0.0,fulfilled,Acoustic (Classical / OM),M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags
22550,2018-01-29,229.99,229.99,yes,0.0,fulfilled,Acoustic (Classical / OM),M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags
18151,2018-02-15,199.98,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
18174,2018-02-12,,229.99,no,229.99,fulfilled,Single Electric Bass,M80-EB-BLK,1,Bass Guitar Cases & Gig Bags
18152,2018-02-15,229.99,229.99,yes,0.0,fulfilled,Acoustic (Classical / OM),M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags
18148,2018-02-15,271.01,229.99,no,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18147,2018-02-15,248.96,229.99,yes,0.0,fulfilled,Acoustic (Classical / OM),M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags
18144,2018-02-16,251.83,229.99,yes,0.0,fulfilled,Single Electric Guitar,M80-EG-BLK,1,Electric Guitar Cases & Gig Bags
18143,2018-02-16,161.0,229.99,no,68.99,fulfilled,Single Electric Guitar,M80-EG-BLK,1,Electric Guitar Cases & Gig Bags
18145,2018-02-16,229.99,229.99,yes,0.0,fulfilled,Single Electric Guitar,M80-EG-BLK,1,Electric Guitar Cases & Gig Bags
