order_id,order_created_at,order_total_price,order_status,order_discounts,product_title,product_sku,product_quantity,product_discount,product_category,product_deparments,product_created_at,,,
20464,2018-01-10T09:14:38.000Z,495.62,fulfilled,yes,Pedalboard Large (Black),PFX-PB-L-BLK,1,0,,,,,,
20464,2018-01-10T09:14:38.000Z,495.62,fulfilled,yes,Pro 2.0,M80-PRO-V2-BLK,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20462,2018-01-10T12:53:59.000Z,,fulfilled,no,Pedalboard Club Case,M80-PB1-BLK,1,149.99,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20466,2018-01-10T01:23:01.000Z,194.84,fulfilled,yes,Acoustic Guitar Sleeve™,M80-SAD-BLK,1,0,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20463,2018-01-10T12:42:58.000Z,,fulfilled,no,Cymbal 22 (Black),M80-CY22-BLK,1,189.99,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20475,2018-01-09T12:27:02.000Z,329.99,fulfilled,yes,Dual Electric Guitar,M80-2G-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20461,2018-01-10T15:57:43.000Z,,fulfilled,no,The FlyBy,EFX-FLY-BLK,1,229.99,DJ Equipment Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20459,2018-01-10T18:27:24.000Z,62.24,fulfilled,yes,The Betty (Ash-Long),M80-BTY-ASH-L,1,0,Guitar Straps,,2017-10-26T02:57:14.000Z,,,
20450,2018-01-11T11:13:49.000Z,469.98,fulfilled,yes,Pro 2.0,M80-PRO-V2-BLK,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20450,2018-01-11T11:13:49.000Z,469.98,fulfilled,yes,Pedalboard Large (Silver),PFX-PB-L-SLV,1,0,,,,,,
22690,2018-01-12T10:04:19.000Z,339.98,fulfilled,yes,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22690,2018-01-12T10:04:19.000Z,339.98,fulfilled,yes,Vertigo™ Electric Guitar,M80-VEG-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22689,2018-01-12T12:57:26.000Z,149.99,fulfilled,yes,Guitar Sleeve™ (Ash),M80-SEG-ASH,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22687,2018-01-13T13:20:42.000Z,319.98,fulfilled,yes,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22687,2018-01-13T13:20:42.000Z,319.98,fulfilled,yes,Acoustic (Classical / OM),M80-AC-BLK,1,0,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22681,2018-01-14T15:03:53.000Z,,fulfilled,no,Vertigo™ Electric Bass,M80-VEB-BLK,1,249.99,Bass Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22663,2018-01-15T12:49:10.000Z,,fulfilled,yes,Tour Tag,M80-TT-BLK,3,0,,,,,,
22677,2018-01-14T19:38:43.000Z,104.77,fulfilled,yes,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22685,2018-01-14T10:36:04.000Z,149.99,fulfilled,yes,Drum Pedal,M80-DP-BLK,1,0,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22691,2018-01-12T08:59:41.000Z,379.63,fulfilled,yes,Vertigo™ Electric Bass,M80-VEB-BLK,1,0,Bass Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22678,2018-01-14T19:32:57.000Z,123.33,fulfilled,yes,Pedalboard Lite (Silver),PFX-PB-LT-SLV,1,0,Pedalboards,,2017-10-26T02:57:14.000Z,,,
22682,2018-01-14T13:14:30.000Z,149.99,fulfilled,yes,Bass Sleeve™ (Black),M80-SEB-BLK,1,0,Bass Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22664,2018-01-15T12:04:24.000Z,,fulfilled,no,Cymbal 22 (Black),M80-CY22-BLK,1,189.99,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22683,2018-01-14T11:34:08.000Z,,fulfilled,no,Cymbal 22 (Black),M80-CY22-BLK,1,189.99,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22657,2018-01-16T02:40:57.000Z,189.99,fulfilled,yes,Cymbal 22 (Black),M80-CY22-BLK,1,0,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22653,2018-01-16T09:50:46.000Z,,fulfilled,no,Vertigo™ Electric Guitar,M80-VEG-BLK,1,249.99,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22654,2018-01-16T09:32:57.000Z,282.34,fulfilled,yes,Pedalboard Large (Silver),PFX-PB-L-SLV,1,0,,,,,,
22646,2018-01-17T09:06:43.000Z,,fulfilled,no,Pedalboard Club Case,M80-PB1-BLK,1,149.99,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22643,2018-01-17T12:45:08.000Z,247.52,fulfilled,yes,Acoustic (Dreadnought / Standard),M80-AD-BLK,1,0,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22628,2018-01-18T09:49:26.000Z,199.99,fulfilled,yes,Pro 2.0,M80-PRO-V2-BLK,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22627,2018-01-18T12:55:10.000Z,,fulfilled,yes,TEAR-AID,TEAR-AID,1,0,,,,,,
22624,2018-01-18T16:39:03.000Z,246.66,fulfilled,yes,Acoustic (Dreadnought / Standard),M80-AD-BLK,1,0,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22615,2018-01-19T03:09:24.000Z,,fulfilled,no,Cymbal 22 (Black),M80-CY22-BLK,1,189.99,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22688,2018-01-12T15:07:05.000Z,72.24,fulfilled,yes,Passport Wallet (Jet Black),CVL-PPW-BLK,1,0,Wallets,,2017-10-26T02:57:14.000Z,,,
22611,2018-01-19T19:55:16.000Z,268.09,fulfilled,yes,The Betty (Black-Long),M80-BTY-BLK-L,2,0,Guitar Straps,,2017-10-26T02:57:14.000Z,,,
22611,2018-01-19T19:55:16.000Z,268.09,fulfilled,yes,Guitar Sleeve™,M80-SEG-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22609,2018-01-21T12:18:13.000Z,,fulfilled,yes,TEAR-AID,TEAR-AID,1,0,,,,,,
22614,2018-01-19T07:50:32.000Z,249.99,fulfilled,yes,Vertigo™ Electric Guitar,M80-VEG-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22612,2018-01-19T14:18:27.000Z,227.91,fulfilled,no,Vertigo™ Electric Guitar,M80-VEG-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22592,2018-01-22T15:25:42.000Z,,fulfilled,no,Acoustic (Classical / OM),M80-AC-BLK,1,229.99,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22586,2018-01-23T01:31:07.000Z,160.86,fulfilled,yes,Pedalboard Club Case,M80-PB1-BLK,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22585,2018-01-23T11:24:22.000Z,165,fulfilled,no,Dual Electric Bass,M80-2B-BLK,1,0,Bass Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22610,2018-01-20T21:05:45.000Z,209.99,fulfilled,yes,Cymbal 24 (Ash),M80-CY24-ASH,1,0,Drum & Percussion Cases & Gig Bags,,2018-02-01T02:03:39.000Z,,,
22593,2018-01-22T13:17:11.000Z,178.42,fulfilled,no,Vertigo™ Electric Bass,M80-VEB-BLK,1,0,Bass Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22591,2018-01-22T17:05:44.000Z,209.68,fulfilled,yes,Guitar Sleeve™,M80-SEG-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
