,order_id,order_date,order_total_price,product_price,order_discounts,product_discount,order_status,product_title,product_sku,product_quantity,product_category,weekdays,sch_holidays
33,20514,2018-01-06,64.58,49.99,yes,0.0,fulfilled,Loop Laptop,CVL-LLT-15-ASH,1,Gifts,6,Non Holidays
34,20513,2018-01-07,329.99,329.99,yes,0.0,fulfilled,Dual Acoustic + Electric,M80-2A-BLK,1,Electric Guitar Cases & Gig Bags,7,Non Holidays
35,20553,2018-01-02,,189.99,no,189.99,fulfilled,Cymbal 22 (Black),M80-CY22-BLK,1,Drum & Percussion Cases & Gig Bags,2,Non Holidays
36,20504,2018-01-08,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Electric Guitar,M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags,1,Non Holidays
37,20485,2018-01-08,150.0,249.99,no,0.0,fulfilled,Vertigo™ Acoustic Guitar,M80-VAD-BLK,1,Acoustic Guitar Cases & Gig Bags,1,Non Holidays
38,20474,2018-01-09,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
39,20477,2018-01-09,135.48,229.99,no,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
40,20473,2018-01-09,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
41,20467,2018-01-09,199.98,49.99,yes,0.0,fulfilled,The Betty (Ash-Short),M80-BTY-ASH-S,1,Guitar Straps,2,Non Holidays
42,20467,2018-01-09,199.98,149.99,yes,0.0,fulfilled,Guitar Sleeve™ (Ash),M80-SEG-ASH,1,Electric Guitar Cases & Gig Bags,2,Non Holidays
43,20464,2018-01-10,495.62,0.0,yes,0.0,fulfilled,Pedalboard Large (Black),PFX-PB-L-BLK,1,,3,Non Holidays
44,20464,2018-01-10,495.62,199.99,yes,0.0,fulfilled,Pro 2.0,M80-PRO-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,3,Non Holidays
45,20462,2018-01-10,,149.99,no,149.99,fulfilled,Pedalboard Club Case,M80-PB1-BLK,1,Pedals & Pedalboards Cases & Gig Bags,3,Non Holidays
46,20466,2018-01-10,194.84,179.99,yes,0.0,fulfilled,Acoustic Guitar Sleeve™,M80-SAD-BLK,1,Acoustic Guitar Cases & Gig Bags,3,Non Holidays
47,20463,2018-01-10,,189.99,no,189.99,fulfilled,Cymbal 22 (Black),M80-CY22-BLK,1,Drum & Percussion Cases & Gig Bags,3,Non Holidays
48,20475,2018-01-09,329.99,329.99,yes,0.0,fulfilled,Dual Electric Guitar,M80-2G-BLK,1,Electric Guitar Cases & Gig Bags,2,Non Holidays
49,20461,2018-01-10,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,3,Non Holidays
50,20459,2018-01-10,62.24,49.99,yes,0.0,fulfilled,The Betty (Ash-Long),M80-BTY-ASH-L,1,Guitar Straps,3,Non Holidays
51,20450,2018-01-11,469.98,199.99,yes,0.0,fulfilled,Pro 2.0,M80-PRO-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,4,Non Holidays
52,20450,2018-01-11,469.98,0.0,yes,0.0,fulfilled,Pedalboard Large (Silver),PFX-PB-L-SLV,1,,4,Non Holidays
53,22690,2018-01-12,339.98,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,5,Non Holidays
54,22690,2018-01-12,339.98,249.99,yes,0.0,fulfilled,Vertigo™ Electric Guitar,M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags,5,Non Holidays
55,22689,2018-01-12,149.99,149.99,yes,0.0,fulfilled,Guitar Sleeve™ (Ash),M80-SEG-ASH,1,Electric Guitar Cases & Gig Bags,5,Non Holidays
56,22687,2018-01-13,319.98,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,6,Non Holidays
57,22687,2018-01-13,319.98,229.99,yes,0.0,fulfilled,Acoustic (Classical / OM),M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags,6,Non Holidays
58,22681,2018-01-14,,249.99,no,249.99,fulfilled,Vertigo™ Electric Bass,M80-VEB-BLK,1,Bass Guitar Cases & Gig Bags,7,Non Holidays
59,22663,2018-01-15,,0.0,yes,0.0,fulfilled,Tour Tag,M80-TT-BLK,3,,1,Non Holidays
60,22677,2018-01-14,104.77,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,7,Non Holidays
61,22685,2018-01-14,149.99,149.99,yes,0.0,fulfilled,Drum Pedal,M80-DP-BLK,1,Drum & Percussion Cases & Gig Bags,7,Non Holidays
62,22691,2018-01-12,379.63,249.99,yes,0.0,fulfilled,Vertigo™ Electric Bass,M80-VEB-BLK,1,Bass Guitar Cases & Gig Bags,5,Non Holidays
63,22678,2018-01-14,123.33,109.99,yes,0.0,fulfilled,Pedalboard Lite (Silver),PFX-PB-LT-SLV,1,Pedalboards,7,Non Holidays
64,22682,2018-01-14,149.99,149.99,yes,0.0,fulfilled,Bass Sleeve™ (Black),M80-SEB-BLK,1,Bass Guitar Cases & Gig Bags,7,Non Holidays
