id,sku,price_usd,category,tags,created_at
34705,EFX-PDR-BLK,169.99,DJ Equipment Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34706,EFX-FAD-BLK,169.99,DJ Equipment Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34707,CVL-DCW-BLK,49.99,Wallets,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34708,CVL-DCW-ASH,49.99,Wallets,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34709,CVL-PPW-BLK,59.99,Wallets,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34710,CVL-PPW-WHT,59.99,Wallets,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34711,CVL-LLT-13-BLK,49.99,Gifts,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34712,CVL-LLT-13-ASH,49.99,Gifts,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34713,CVL-LLT-13-WHT,49.99,Gifts,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34714,CVL-LLT-15-BLK,49.99,Gifts,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34715,CVL-LLT-15-ASH,49.99,Gifts,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34716,CVL-LLT-15-WHT,49.99,Gifts,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34717,CVL-LLT-17-BLK,49.99,Gifts,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34718,CVL-LPD-BLK,39.99,Gifts,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34719,CVL-LPD-ASH,39.99,Gifts,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34720,CVL-LPD-WHT,39.99,Gifts,Lifestyle & Gifts,2017-10-26T02:57:14.000Z
34722,EFX-FLY-BLK,229.99,DJ Equipment Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
35256,M80-EB-BLK,229.99,Bass Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
35687,M80-SEG-BLK,149.99,Electric Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
35688,M80-SEG-ASH,149.99,Electric Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
35689,M80-SEB-BLK,149.99,Bass Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
35690,M80-SEB-ASH,149.99,Bass Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
36970,M80-VAD-BLK,249.99,Acoustic Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
39985,M80-SAD-BLK,179.99,Acoustic Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
39986,M80-SAD-ASH,179.99,Acoustic Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
39987,M80-2A-BLK,329.99,Electric Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
43874,M80-AP-BLK,199.99,Acoustic Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
44674,M80-DLT-BRN,39.99,Guitar Straps,Accessories,2017-10-26T02:57:14.000Z
45968,EFX-FAD-GRY,169.99,DJ Equipment Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
47158,M80-TICK-V2-BLK,89.99,Pedals & Pedalboards Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
48147,PFX-PB-LP-BLK,129.99,Pedalboards,Pedals & Pedalboards,2017-10-26T02:57:14.000Z
48148,PFX-PB-LP-SLV,129.99,Pedalboards,Pedals & Pedalboards,2017-10-26T02:57:14.000Z
48149,M80-TICK-V2-GRY,89.99,Pedals & Pedalboards Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
